crate,config,lto,opt,panic,rule,n_fdes,n_gt_known,n_gt_excluded_unknown_or_conflict,coverage,ambiguous_fraction,predicted_author,predicted_dep,actual_author,actual_workspace,actual_dep,actual_std,tp_author,tp_dep,precision_author,precision_dep,recall_author_excl,recall_author_ambig_err,recall_dep_excl,recall_dep_ambig_err
oxker,lto-thin_opt-3_panic-abort,thin,3,abort,A@3,4384,4166,218,0.30200729927007297,0.0011405109489051094,1,1318,153,0,2235,1778,1,790,1.0,0.5993930197268589,0.006756756756756757,0.006535947712418301,0.3534675615212528,0.3534675615212528
oxker,lto-thin_opt-3_panic-abort,thin,3,abort,A@4,4384,4166,218,0.30200729927007297,0.0013686131386861315,0,1318,153,0,2235,1778,0,790,,0.5993930197268589,0.0,0.0,0.3534675615212528,0.3534675615212528
oxker,lto-thin_opt-3_panic-abort,thin,3,abort,A@5,4384,4166,218,0.30200729927007297,0.0013686131386861315,0,1318,153,0,2235,1778,0,790,,0.5993930197268589,0.0,0.0,0.3534675615212528,0.3534675615212528
oxker,lto-thin_opt-3_panic-abort,thin,3,abort,A@6,4384,4166,218,0.30200729927007297,0.0013686131386861315,0,1318,153,0,2235,1778,0,790,,0.5993930197268589,0.0,0.0,0.3534675615212528,0.3534675615212528
oxker,lto-thin_opt-3_panic-abort,thin,3,abort,B@1,4384,4166,218,0.30200729927007297,0.0,10,1314,153,0,2235,1778,10,790,1.0,0.6012176560121766,0.06535947712418301,0.06535947712418301,0.3534675615212528,0.3534675615212528
oxker,lto-thin_opt-3_panic-abort,thin,3,abort,B@2,4384,4166,218,0.30200729927007297,0.0011405109489051094,5,1314,153,0,2235,1778,5,790,1.0,0.6012176560121766,0.033783783783783786,0.032679738562091505,0.3534675615212528,0.3534675615212528
oxker,lto-thin_opt-3_panic-abort,thin,3,abort,B@3,4384,4166,218,0.30200729927007297,0.0015967153284671533,3,1314,153,0,2235,1778,3,790,1.0,0.6012176560121766,0.02054794520547945,0.0196078431372549,0.3534675615212528,0.3534675615212528
oxker,lto-thin_opt-3_panic-abort,thin,3,abort,B@4,4384,4166,218,0.30200729927007297,0.002052919708029197,1,1314,153,0,2235,1778,1,790,1.0,0.6012176560121766,0.006944444444444444,0.006535947712418301,0.3534675615212528,0.3534675615212528
oxker,lto-thin_opt-3_panic-abort,thin,3,abort,B@5,4384,4166,218,0.30200729927007297,0.002052919708029197,1,1314,153,0,2235,1778,1,790,1.0,0.6012176560121766,0.006944444444444444,0.006535947712418301,0.3534675615212528,0.3534675615212528
oxker,lto-thin_opt-3_panic-abort,thin,3,abort,B@6,4384,4166,218,0.30200729927007297,0.002052919708029197,1,1314,153,0,2235,1778,1,790,1.0,0.6012176560121766,0.006944444444444444,0.006535947712418301,0.3534675615212528,0.3534675615212528
